REF,DOMN,INV,MUSEO,STAT,DENO,APPL,TITR,AUTR,ROLE,PAUT,GENRE,ECOL,ATTR,PERI,MILL,EPOQ,MILU,PEOC,GENE,HIST,LIEUX,PLIEUX,GEOHI,LOCA_PROV,PERU,DECV,PDEC,UTIL,PUTI,TECH,DIMS,INSC,PINS,ONOM,DESC,REPR,PREP,DREP,SREP,DACQ,APTN,DEPO,DDPT,ADPT,DATION,MANQUANT,MANQUANT_COM,COMM,EXPO,BIBL,DMIS,DMOIS,DMAJ,REDA,PHOT,DATA,LOCA3,IA,REFPAL,REFMEM,REFMER,REGION,DPT,VILLE_M,NOMOFF,LOCA,custom_LOCA
Référence de la notice,Domaine,Numéro d'inventaire,Lien Muséofile,Statut juridique,Dénomination,Appellation,Titre,Auteur,Rôle,Précisions sur l'auteur,Genre du ou des auteurs,École (pays),Anciennes attributions,Période de création,Millésime de création,Époque,Millésime d'utilisation,Période de l'original copié,Genèse,Historique,Lieu de création / utilisation,"Précisions sur le lieu de création, d'exécution ou d'utilisation",Lieu historique,Provenance du bien,Période d'utilisation,Découverte / collecte,Précisions sur la découverte ou la collecte,Utilisation / destination,Précisions sur l'utilisation,Matériaux et techniques,Mesures,Inscriptions,Précisions sur les inscriptions,Onomastique,Description,Sujet représenté,Précisions sur le sujet représenté,Date du sujet représenté,Source de la représentation,Date d'acquisition,Anciennes appartenances,Lieu de dépôt,Date de dépôt,Ancien dépôt,Dation,Situation particulière,Précisions sur une situation particulière,Commentaires,Exposition,Bibliographie,Date de création,Date de moissonnage de la notice,Date de mise à jour,Rédacteur de la notice,Crédits photographiques,Artiste sous droits,Année d'entrée dans le domaine public,Droits de reproduction et de représentation,Références Palissy liées,Références Mémoire liées,Références Mérimée liées,Région,Département,Ville,Nom du musée,Localisation,Lieu de conservation
M1114240010019,estampe ; arts graphiques,2008.0.16.6,M1114,,estampe,,"Notre-Dame de Paris, livre VII, chapitre I : Du danger de confier son secret à une chèvre; Illustration pour ""Notre-Dame de Paris"" dans l'Edition Renduel; Œuvres de Victor Hugo. Paris : E.Renduel 1832-1842 ; Furne 1840-1846",Staines R. (-) ; Johannot Antoine (dit Tony Johannot) (1803-1852) ; Renduel Eugène (1798-1874),,,,,,2e quart du 19e siècle,En 1836,,,,,,,,,,,,,,,Gravure sur acier,Hauteur 10.7 cm ; Largeur 7.8 cm ; Hauteur 23.2 cm ; Largeur 17.2 cm ; Hauteur 28.4 cm ; Largeur 19.8 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,CC0 Paris Musées / Maisons de Victor Hugo Paris-Guernesey,,,,,,,Île-de-France,Paris,Paris,maison de Victor Hugo,Maison de Victor Hugo - Hauteville House,Paris ; maison de Victor Hugo
M1114240010020,estampe ; arts graphiques,2008.0.16.7,M1114,,estampe,,"Notre-Dame de Paris, livre VII, chapitre I : Du danger de confier son secret à une chèvre; Illustration pour ""Notre-Dame de Paris"" dans l'Edition Renduel; Œuvres de Victor Hugo. Paris : E.Renduel 1832-1842 ; Furne 1840-1846",Staines R. (-) ; Johannot Antoine (dit Tony Johannot) (1803-1852) ; Renduel Eugène (1798-1874),,,,,,2e quart du 19e siècle,En 1836,,,,,,,,,,,,,,,Gravure sur acier,Hauteur 10.8 cm ; Largeur 7.8 cm ; Hauteur 15.2 cm ; Largeur 10.3 cm ; Hauteur 18.8 cm ; Largeur 13 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,CC0 Paris Musées / Maisons de Victor Hugo Paris-Guernesey,,,,,,,Île-de-France,Paris,Paris,maison de Victor Hugo,Maison de Victor Hugo - Hauteville House,Paris ; maison de Victor Hugo
M1114240010022,estampe ; arts graphiques,2008.0.16.8,M1114,,estampe,,"Notre-Dame de Paris, livre VII, chapitre I : Du danger de confier son secret à une chèvre; Illustration pour ""Notre-Dame de Paris"" dans l'Edition Furne; Œuvres de Victor Hugo. Paris : E.Renduel 1832-1842 ; Furne 1840-1846",Staines R. (-) ; Johannot Antoine (dit Tony Johannot) (1803-1852) ; Furne Charles (1794-1859),,,,,,2e quart du 19e siècle,En 1836,,,,,,,,,,,,,,,Gravure sur acier,Hauteur 10.9 cm ; Largeur 7.7 cm ; Hauteur 22.4 cm ; Largeur 14.8 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,CC0 Paris Musées / Maisons de Victor Hugo Paris-Guernesey,,,,,,,Île-de-France,Paris,Paris,maison de Victor Hugo,Maison de Victor Hugo - Hauteville House,Paris ; maison de Victor Hugo
M1114240010023,estampe ; arts graphiques,2008.0.16.9,M1114,,estampe,,"Notre-Dame de Paris, livre VII, chapitre I : Du danger de confier son secret à une chèvre; Illustration pour ""Notre-Dame de Paris"" dans l'Edition Furne; Œuvres de Victor Hugo. Paris : E.Renduel 1832-1842 ; Furne 1840-1846",Staines R. (-) ; Johannot Antoine (dit Tony Johannot) (1803-1852) ; Chardon François-Joseph (dit Chardon aîné) (1797-1868) ; Furne Charles (1794-1859),,,,,,2e quart du 19e siècle,En 1836,,,,,,,,,,,,,,,Gravure sur acier,Hauteur 10.8 cm ; Largeur 7.8 cm ; Hauteur 27.8 cm ; Largeur 18 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,CC0 Paris Musées / Maisons de Victor Hugo Paris-Guernesey,,,,,,,Île-de-France,Paris,Paris,maison de Victor Hugo,Maison de Victor Hugo - Hauteville House,Paris ; maison de Victor Hugo
M1114240010024,estampe ; arts graphiques,2008.0.17.1,M1114,,estampe,,"Notre-Dame de Paris, livre VII, chapitre VIII : Utilité des fenêtres qui donnent sur la rivière; Illustration pour ""Notre-Dame de Paris"" dans l'Edition Renduel; Œuvres de Victor Hugo. Paris : E.Renduel 1832-1842 ; Furne 1840-1846","Lacour-Lestudier ou Lestudier-Lacour, Gabriel-Louis (1800-) ; Raffet Auguste (1804-1860) ; Renduel Eugène (1798-1874)",,,,,,2e quart du 19e siècle,En 1836,,,,,,,,,,,,,,,Gravure sur acier,Hauteur 11 cm ; Largeur 8 cm ; Hauteur 18.2 cm ; Largeur 13 cm ; Hauteur 29.2 cm ; Largeur 19.8 cm ; Hauteur 53 cm ; Largeur 38 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,CC0 Paris Musées / Maisons de Victor Hugo Paris-Guernesey,,,,,,,Île-de-France,Paris,Paris,maison de Victor Hugo,Maison de Victor Hugo - Hauteville House,Paris ; maison de Victor Hugo
M1114240010025,"estampe ; manuscrits, imprimés, reliure ; arts graphiques",2008.0.13.1,M1114,,illustration de livre,,"Notre-Dame de Paris, livre II, chapitre VI : La cruche cassée.; Illustration pour ""Notre-Dame de Paris"" dans l'Edition Renduel; Œuvres de Victor Hugo. Paris : E.Renduel 1832-1842; Furne 1840-1846",Finden William (1787-1852) ; Raffet Auguste (1804-1860) ; Renduel Eugène (1798-1874),,,,,,2e quart du 19e siècle,En 1836,,,,,,,,,,,,,,,Eau-forte ; Gravure sur acier,Hauteur 8 cm ; Largeur 10.9 cm ; Hauteur 17.8 cm ; Largeur 23.3 cm ; Hauteur 22 cm ; Largeur 29.5 cm ; Hauteur 53 cm ; Largeur 38 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,CC0 Paris Musées / Maisons de Victor Hugo Paris-Guernesey,,,,,,,Île-de-France,Paris,Paris,maison de Victor Hugo,Maison de Victor Hugo - Hauteville House,Paris ; maison de Victor Hugo
M1114240010026,"estampe ; manuscrits, imprimés, reliure ; arts graphiques",2008.0.13.2,M1114,,illustration de livre,,"Notre-Dame de Paris, livre II, chapitre VI : La cruche cassée.; Illustration pour ""Notre-Dame de Paris"" dans l'Edition Renduel; Œuvres de Victor Hugo. Paris : E.Renduel 1832-1842; Furne 1840-1846",Finden William (1787-1852) ; Raffet Auguste (1804-1860) ; Renduel Eugène (1798-1874),,,,,,2e quart du 19e siècle,En 1836,,,,,,,,,,,,,,,Eau-forte ; Gravure sur acier,Hauteur 7.8 cm ; Largeur 10.8 cm ; Hauteur 13.3 cm ; Largeur 18 cm ; Hauteur 17.8 cm ; Largeur 23.3 cm ; Hauteur 20 cm ; Largeur 28.5 cm ; Hauteur 53 cm ; Largeur 38 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,CC0 Paris Musées / Maisons de Victor Hugo Paris-Guernesey,,,,,,,Île-de-France,Paris,Paris,maison de Victor Hugo,Maison de Victor Hugo - Hauteville House,Paris ; maison de Victor Hugo
M1114240010027,estampe ; arts graphiques,2008.0.17.2,M1114,,estampe,,"Notre-Dame de Paris, livre VII, chapitre VIII : Utilité des fenêtres qui donnent sur la rivière; Illustration pour ""Notre-Dame de Paris"" dans l'Edition Renduel; Œuvres de Victor Hugo. Paris : E.Renduel 1832-1842 ; Furne 1840-1846","Lacour-Lestudier ou Lestudier-Lacour, Gabriel-Louis (1800-) ; Raffet Auguste (1804-1860) ; Renduel Eugène (1798-1874)",,,,,,2e quart du 19e siècle,En 1836,,,,,,,,,,,,,,,Gravure sur acier,Hauteur 11 cm ; Largeur 8 cm ; Hauteur 28.8 cm ; Largeur 20.3 cm ; Hauteur 53 cm ; Largeur 38 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,CC0 Paris Musées / Maisons de Victor Hugo Paris-Guernesey,,,,,,,Île-de-France,Paris,Paris,maison de Victor Hugo,Maison de Victor Hugo - Hauteville House,Paris ; maison de Victor Hugo
M1114240010028,estampe ; arts graphiques,2008.0.17.3,M1114,,estampe,,"Notre-Dame de Paris, livre VII, chapitre VIII : Utilité des fenêtres qui donnent sur la rivière; Illustration pour ""Notre-Dame de Paris"" dans l'Edition Renduel; Œuvres de Victor Hugo. Paris : E.Renduel 1832-1842 ; Furne 1840-1846","Lacour-Lestudier ou Lestudier-Lacour, Gabriel-Louis (1800-) ; Raffet Auguste (1804-1860) ; Renduel Eugène (1798-1874)",,,,,,2e quart du 19e siècle,En 1836,,,,,,,,,,,,,,,Gravure sur acier,Hauteur 11 cm ; Largeur 8 cm ; Hauteur 29.2 cm ; Largeur 20.2 cm ; Hauteur 53 cm ; Largeur 38 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,CC0 Paris Musées / Maisons de Victor Hugo Paris-Guernesey,,,,,,,Île-de-France,Paris,Paris,maison de Victor Hugo,Maison de Victor Hugo - Hauteville House,Paris ; maison de Victor Hugo
M1114240010029,"estampe ; manuscrits, imprimés, reliure ; arts graphiques",2008.0.13.3,M1114,,illustration de livre,,"Notre-Dame de Paris, livre II, chapitre VI : La cruche cassée.; Illustration pour ""Notre-Dame de Paris"" dans l'Edition Renduel; Œuvres de Victor Hugo. Paris : E.Renduel 1832-1842; Furne 1840-1846",Finden William (1787-1852) ; Raffet Auguste (1804-1860) ; Renduel Eugène (1798-1874),,,,,,2e quart du 19e siècle,En 1836,,,,,,,,,,,,,,,Eau-forte ; Gravure sur acier,Hauteur 7.7 cm ; Largeur 10.8 cm ; Hauteur 10.4 cm ; Largeur 23.2 cm ; Hauteur 20.2 cm ; Largeur 28.4 cm ; Hauteur 53 cm ; Largeur 38 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,CC0 Paris Musées / Maisons de Victor Hugo Paris-Guernesey,,,,,,,Île-de-France,Paris,Paris,maison de Victor Hugo,Maison de Victor Hugo - Hauteville House,Paris ; maison de Victor Hugo
M1114240010030,"estampe ; manuscrits, imprimés, reliure ; arts graphiques",2010.0.74.1,M1114,,illustration de livre,,"Notre-Dame de Paris, livre II, chapitre VI : La cruche cassée.; Illustration pour ""Notre-Dame de Paris"" dans l'Edition Renduel; Œuvres de Victor Hugo. Paris : E.Renduel 1832-1842; Furne 1840-1846",Finden William (1787-1852) ; Raffet Auguste (1804-1860) ; Renduel Eugène (1798-1874),,,,,,2e quart du 19e siècle,,,,,,,,,,,,,,,,Eau-forte ; Gravure sur acier,Hauteur 7.8 cm ; Largeur 10.8 cm ; Hauteur 11.3 cm ; Largeur 13.7 cm ; Hauteur 13 cm ; Largeur 21.2 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,CC0 Paris Musées / Maisons de Victor Hugo Paris-Guernesey,,,,,,,Île-de-France,Paris,Paris,maison de Victor Hugo,Maison de Victor Hugo - Hauteville House,Paris ; maison de Victor Hugo
M1114240010031,"estampe ; manuscrits, imprimés, reliure ; arts graphiques",2010.0.74.2,M1114,,illustration de livre,,"Notre-Dame de Paris, livre II, chapitre VI : La cruche cassée.; Illustration pour ""Notre-Dame de Paris"" dans l'Edition Renduel; Œuvres de Victor Hugo. Paris : E.Renduel 1832-1842; Furne 1840-1846",Finden William (1787-1852) ; Raffet Auguste (1804-1860) ; Furne Charles (1794-1859),,,,,,2e quart du 19e siècle,,,,,,,,,,,,,,,,Eau-forte ; Gravure sur acier,Hauteur 8 cm ; Largeur 11 cm ; Hauteur 14.8 cm ; Largeur 22.3 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,CC0 Paris Musées / Maisons de Victor Hugo Paris-Guernesey,,,,,,,Île-de-France,Paris,Paris,maison de Victor Hugo,Maison de Victor Hugo - Hauteville House,Paris ; maison de Victor Hugo
M1114240010032,estampe ; arts graphiques,2008.0.17.5,M1114,,estampe,,"Notre-Dame de Paris, livre VII, chapitre VIII : Utilité des fenêtres qui donnent sur la rivière; Illustration pour ""Notre-Dame de Paris"" dans l'Edition Renduel; Œuvres de Victor Hugo. Paris : E.Renduel 1832-1842 ; Furne 1840-1846","Lacour-Lestudier ou Lestudier-Lacour, Gabriel-Louis (1800-) ; Raffet Auguste (1804-1860) ; Renduel Eugène (1798-1874)",,,,,,2e quart du 19e siècle,En 1836,,,,,,,,,,,,,,,Gravure sur acier,Hauteur 11.2 cm ; Largeur 8.1 cm ; Hauteur 16.7 cm ; Largeur 13.2 cm ; Hauteur 28.2 cm ; Largeur 19.4 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,CC0 Paris Musées / Maisons de Victor Hugo Paris-Guernesey,,,,,,,Île-de-France,Paris,Paris,maison de Victor Hugo,Maison de Victor Hugo - Hauteville House,Paris ; maison de Victor Hugo
M1114240010033,"estampe ; manuscrits, imprimés, reliure ; arts graphiques",2010.0.74.3,M1114,,illustration de livre,,"Notre-Dame de Paris, livre II, chapitre VI : La cruche cassée.; Illustration pour ""Notre-Dame de Paris"" dans l'Edition Renduel; Œuvres de Victor Hugo. Paris : E.Renduel 1832-1842; Furne 1840-1846",Finden William (1787-1852) ; Raffet Auguste (1804-1860) ; Renduel Eugène (1798-1874),,,,,,2e quart du 19e siècle,,,,,,,,,,,,,,,,Eau-forte ; Gravure sur acier,Hauteur 7.8 cm ; Largeur 10.8 cm ; Hauteur 17.4 cm ; Largeur 23 cm ; Hauteur 20 cm ; Largeur 28.3 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,CC0 Paris Musées / Maisons de Victor Hugo Paris-Guernesey,,,,,,,Île-de-France,Paris,Paris,maison de Victor Hugo,Maison de Victor Hugo - Hauteville House,Paris ; maison de Victor Hugo
M1114240010034,estampe ; arts graphiques,2008.0.17.6,M1114,,estampe,,"Notre-Dame de Paris, livre VII, chapitre VIII : Utilité des fenêtres qui donnent sur la rivière; Illustration pour ""Notre-Dame de Paris"" dans l'Edition Furne; Œuvres de Victor Hugo. Paris : E.Renduel 1832-1842 ; Furne 1840-1846","Lacour-Lestudier ou Lestudier-Lacour, Gabriel-Louis (1800-) ; Raffet Auguste (1804-1860) ; Furne Charles (1794-1859)",,,,,,2e quart du 19e siècle,En 1836,,,,,,,,,,,,,,,Gravure sur acier,Hauteur 11.2 cm ; Largeur 8 cm ; Hauteur 22.3 cm ; Largeur 14.8 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,CC0 Paris Musées / Maisons de Victor Hugo Paris-Guernesey,,,,,,,Île-de-France,Paris,Paris,maison de Victor Hugo,Maison de Victor Hugo - Hauteville House,Paris ; maison de Victor Hugo
M1114240010035,estampe ; arts graphiques,2008.0.18.1,M1114,,estampe,,"Notre-Dame de Paris, livre VIII, chapitre VII : Trois cœurs d'homme faits différemment; Illustration pour ""Notre-Dame de Paris"" dans l'Edition Renduel; Œuvres de Victor Hugo. Paris : E.Renduel 1832-1842 ; Furne 1840-1846",Finden Edward (1791-1857) ; Finden William (1787-1852) ; Rogier Camille (1810-1896) ; Renduel Eugène (1798-1874),,,,,,2e quart du 19e siècle,En 1836,,,,,,,,,,,,,,,Gravure sur acier,Hauteur 10.3 cm ; Largeur 7.8 cm ; Hauteur 18.6 cm ; Largeur 12.8 cm ; Hauteur 23.5 cm ; Largeur 17.8 cm ; Hauteur 28.8 cm ; Largeur 20.3 cm ; Hauteur 53 cm ; Largeur 38 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,CC0 Paris Musées / Maisons de Victor Hugo Paris-Guernesey,,,,,,,Île-de-France,Paris,Paris,maison de Victor Hugo,Maison de Victor Hugo - Hauteville House,Paris ; maison de Victor Hugo
M1114240010036,estampe ; arts graphiques,2008.0.18.2,M1114,,estampe,,"Notre-Dame de Paris, livre VIII, chapitre VII : Trois cœurs d'homme faits différemment; Illustration pour ""Notre-Dame de Paris"" dans l'Edition Renduel; Œuvres de Victor Hugo. Paris : E.Renduel 1832-1842 ; Furne 1840-1846",Finden Edward (1791-1857) ; Finden William (1787-1852) ; Rogier Camille (1810-1896) ; Renduel Eugène (1798-1874),,,,,,2e quart du 19e siècle,En 1836,,,,,,,,,,,,,,,Gravure sur acier,Hauteur 10.3 cm ; Largeur 7.6 cm ; Hauteur 23.4 cm ; Largeur 17.3 cm ; Hauteur 29.8 cm ; Largeur 21.2 cm ; Hauteur 53 cm ; Largeur 38 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,CC0 Paris Musées / Maisons de Victor Hugo Paris-Guernesey,,,,,,,Île-de-France,Paris,Paris,maison de Victor Hugo,Maison de Victor Hugo - Hauteville House,Paris ; maison de Victor Hugo
M1114240010037,"estampe ; manuscrits, imprimés, reliure ; arts graphiques",2008.0.14.1,M1114,,illustration de livre,,"Notre-Dame de Paris, livre II, chapitre VII : Une nuit de noces; Illustration pour ""Notre-Dame de Paris"" dans l'Edition Renduel; Œuvres de Victor Hugo. Paris : E.Renduel 1832-1842; Furne 1840-1846",Finden William (1787-1852) ; Johannot Antoine (dit Tony Johannot) (1803-1852) ; Renduel Eugène (1798-1874),,,,,,2e quart du 19e siècle,En 1836,,,,,,,,,,,,,,,Eau-forte ; Gravure sur acier,Hauteur 7.7 cm ; Largeur 10.8 cm ; Hauteur 17.8 cm ; Largeur 23.6 cm ; Hauteur 21.6 cm ; Largeur 29.8 cm ; Hauteur 53 cm ; Largeur 38 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,CC0 Paris Musées / Maisons de Victor Hugo Paris-Guernesey,,,,,,,Île-de-France,Paris,Paris,maison de Victor Hugo,Maison de Victor Hugo - Hauteville House,Paris ; maison de Victor Hugo
M1114240010038,"estampe ; manuscrits, imprimés, reliure ; arts graphiques",2008.0.14.2,M1114,,illustration de livre,,"Notre-Dame de Paris, livre II, chapitre VII : Une nuit de noces; Illustration pour ""Notre-Dame de Paris"" dans l'Edition Renduel, 1836; Œuvres de Victor Hugo. Paris : E.Renduel 1832-1842; Furne 1840-1846",Finden William (1787-1852) ; Johannot Antoine (dit Tony Johannot) (1803-1852) ; Renduel Eugène (1798-1874),,,,,,2e quart du 19e siècle,En 1836,,,,,,,,,,,,,,,Eau-forte ; Gravure sur acier,Hauteur 7.7 cm ; Largeur 10.6 cm ; Hauteur 17.5 cm ; Largeur 23.5 cm ; Hauteur 20 cm ; Largeur 28.3 cm ; Hauteur 53 cm ; Largeur 38 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,CC0 Paris Musées / Maisons de Victor Hugo Paris-Guernesey,,,,,,,Île-de-France,Paris,Paris,maison de Victor Hugo,Maison de Victor Hugo - Hauteville House,Paris ; maison de Victor Hugo
M1114240010039,"estampe ; manuscrits, imprimés, reliure ; arts graphiques",2008.0.14.4,M1114,,illustration de livre,,"Notre-Dame de Paris, livre II, chapitre VII : Une nuit de noces; Illustration pour ""Notre-Dame de Paris"" dans l'Edition Renduel; Œuvres de Victor Hugo. Paris : E.Renduel 1832-1842; Furne 1840-1846",Finden William (1787-1852) ; Johannot Antoine (dit Tony Johannot) (1803-1852) ; Renduel Eugène (1798-1874),,,,,,2e quart du 19e siècle,En 1836,,,,,,,,,,,,,,,Eau-forte ; Gravure sur acier,Hauteur 7.8 cm ; Largeur 10.8 cm ; Hauteur 15.8 cm ; Largeur 23.2 cm ; Hauteur 53 cm ; Largeur 38 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,CC0 Paris Musées / Maisons de Victor Hugo Paris-Guernesey,,,,,,,Île-de-France,Paris,Paris,maison de Victor Hugo,Maison de Victor Hugo - Hauteville House,Paris ; maison de Victor Hugo
M1114240010041,"estampe ; manuscrits, imprimés, reliure ; arts graphiques",2008.0.14.5,M1114,,illustration de livre,,"Notre-Dame de Paris, livre II, chapitre VII : Une nuit de noces; Illustration pour ""Notre-Dame de Paris"" dans l'Edition Renduel; Œuvres de Victor Hugo. Paris : E.Renduel 1832-1842; Furne 1840-1846",Finden William (1787-1852) ; Johannot Antoine (dit Tony Johannot) (1803-1852) ; Renduel Eugène (1798-1874),,,,,,2e quart du 19e siècle,En 1836,,,,,,,,,,,,,,,Eau-forte ; Gravure sur acier,Hauteur 7.7 cm ; Largeur 10.7 cm ; Hauteur 17.3 cm ; Largeur 23.3 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,CC0 Paris Musées / Maisons de Victor Hugo Paris-Guernesey,,,,,,,Île-de-France,Paris,Paris,maison de Victor Hugo,Maison de Victor Hugo - Hauteville House,Paris ; maison de Victor Hugo
M1114240010042,"estampe ; manuscrits, imprimés, reliure ; arts graphiques",2008.0.14.6,M1114,,illustration de livre,,"Notre-Dame de Paris, livre II, chapitre VII : Une nuit de noces; Illustration pour ""Notre-Dame de Paris"" dans l'Edition Renduel; Œuvres de Victor Hugo. Paris : E.Renduel 1832-1842; Furne 1840-1846",Finden William (1787-1852) ; Johannot Antoine (dit Tony Johannot) (1803-1852) ; Renduel Eugène (1798-1874),,,,,,2e quart du 19e siècle,En 1836,,,,,,,,,,,,,,,Eau-forte ; Gravure sur acier,Hauteur 7.8 cm ; Largeur 10.7 cm ; Hauteur 17.5 cm ; Largeur 23.2 cm ; Hauteur 19.8 cm ; Largeur 28.2 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,CC0 Paris Musées / Maisons de Victor Hugo Paris-Guernesey,,,,,,,Île-de-France,Paris,Paris,maison de Victor Hugo,Maison de Victor Hugo - Hauteville House,Paris ; maison de Victor Hugo
M1114240010043,estampe ; arts graphiques,2010.0.75.1,M1114,,estampe,,"Notre-Dame de Paris, livre VIII, chapitre VII : Trois cœurs d'homme faits différemment; Illustration pour ""Notre-Dame de Paris"" dans l'Edition Renduel; Œuvres de Victor Hugo. Paris : E.Renduel 1832-1842 ; Furne 1840-1846",Finden Edward (1791-1857) ; Finden William (1787-1852) ; Rogier Camille (1810-1896) ; Renduel Eugène (1798-1874),,,,,,2e quart du 19e siècle,En 1836,,,,,,,,,,,,,,,Gravure sur acier,Hauteur 10.4 cm ; Largeur 7.8 cm ; Hauteur 23.5 cm ; Largeur 17.3 cm ; Hauteur 28.4 cm ; Largeur 20.2 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,CC0 Paris Musées / Maisons de Victor Hugo Paris-Guernesey,,,,,,,Île-de-France,Paris,Paris,maison de Victor Hugo,Maison de Victor Hugo - Hauteville House,Paris ; maison de Victor Hugo
M1114240010046,"estampe ; manuscrits, imprimés, reliure ; arts graphiques",2008.0.14.8,M1114,,illustration de livre,,"Notre-Dame de Paris, livre II, chapitre VII : Une nuit de noces; Illustration pour ""Notre-Dame de Paris"" dans l'Edition Renduel; Œuvres de Victor Hugo. Paris : E.Renduel 1832-1842; Furne : 1840-1846",Finden William (1787-1852) ; Johannot Antoine (dit Tony Johannot) (1803-1852) ; Furne Charles (1794-1859),,,,,,2e quart du 19e siècle,En 1836,,,,,,,,,,,,,,,Eau-forte ; Gravure sur acier,Hauteur 7.7 cm ; Largeur 10.8 cm ; Hauteur 11.7 cm ; Largeur 13.8 cm ; Hauteur 12.9 cm ; Largeur 21 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,CC0 Paris Musées / Maisons de Victor Hugo Paris-Guernesey,,,,,,,Île-de-France,Paris,Paris,maison de Victor Hugo,Maison de Victor Hugo - Hauteville House,Paris ; maison de Victor Hugo
M1114240010047,estampe ; arts graphiques,2010.0.75.3,M1114,,estampe,,"Notre-Dame de Paris, livre VIII, chapitre VII : Trois cœurs d'homme faits différemment; Illustration pour ""Notre-Dame de Paris"" dans l'Edition Renduel; Œuvres de Victor Hugo. Paris : E.Renduel 1832-1842 ; Furne 1840-1846",Finden Edward (1791-1857) ; Finden William (1787-1852) ; Rogier Camille (1810-1896) ; Renduel Eugène (1798-1874),,,,,,2e quart du 19e siècle,En 1836,,,,,,,,,,,,,,,Gravure sur acier,Hauteur 10.4 cm ; Largeur 7.7 cm ; Hauteur 22.4 cm ; Largeur 14.2 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,CC0 Paris Musées / Maisons de Victor Hugo Paris-Guernesey,,,,,,,Île-de-France,Paris,Paris,maison de Victor Hugo,Maison de Victor Hugo - Hauteville House,Paris ; maison de Victor Hugo
M1114240010048,"estampe ; manuscrits, imprimés, reliure ; arts graphiques",2008.0.14.9,M1114,,illustration de livre,,"Notre-Dame de Paris, livre II, chapitre VII : Une nuit de noces; Illustration pour ""Notre-Dame de Paris"" dans l'Edition Renduel; Œuvres de Victor Hugo. Paris : E.Renduel 1832-1842; Furne 1840-1846",Finden William (1787-1852) ; Johannot Antoine (dit Tony Johannot) (1803-1852) ; Renduel Eugène (1798-1874),,,,,,2e quart du 19e siècle,En 1836,,,,,,,,,,,,,,,Eau-forte ; Gravure sur acier,Hauteur 7.7 cm ; Largeur 10.8 cm ; Hauteur 15.8 cm ; Largeur 24.2 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,CC0 Paris Musées / Maisons de Victor Hugo Paris-Guernesey,,,,,,,Île-de-France,Paris,Paris,maison de Victor Hugo,Maison de Victor Hugo - Hauteville House,Paris ; maison de Victor Hugo
M1114240010049,estampe ; arts graphiques,2010.0.75.4,M1114,,estampe,,"Notre-Dame de Paris, livre VIII, chapitre VII : Trois cœurs d'homme faits différemment; Illustration pour ""Notre-Dame de Paris"" dans l'Edition Furne; Œuvres de Victor Hugo. Paris : E.Renduel 1832-1842 ; Furne 1840-1846",Finden Edward (1791-1857) ; Finden William (1787-1852) ; Rogier Camille (1810-1896) ; Furne Charles (1794-1859),,,,,,2e quart du 19e siècle,En 1836,,,,,,,,,,,,,,,Gravure sur acier,Hauteur 10.4 cm ; Largeur 7.7 cm ; Hauteur 22.3 cm ; Largeur 14.7 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,CC0 Paris Musées / Maisons de Victor Hugo Paris-Guernesey,,,,,,,Île-de-France,Paris,Paris,maison de Victor Hugo,Maison de Victor Hugo - Hauteville House,Paris ; maison de Victor Hugo
